"","web_date","type","desc_title","proposal_id","proposal_link","period","status","proposal_filename"
"499","23.07.2015","RV","Marktordnungsgesetz, Änderung","680 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00680/index.shtml","XXV",5,"XXV_680dB"
"500","23.07.2015","RV","Bundestheaterorganisationsgesetz, Änderung","679 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00679/index.shtml","XXV",5,"XXV_679dB"
"501","23.07.2015","RV","Arbeitslosenversicherungsgesetz, Änderung","674 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00674/index.shtml","XXV",5,"XXV_674dB"
"502","23.07.2015","RV","Gentechnik-Anbauverbots-Rahmengesetz; Sortenschutzgesetz, Änderung","673 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00673/index.shtml","XXV",5,"XXV_673dB"
"503","23.07.2015","RV","Tabakgesetz, Einkommensteuergesetz u.a., Änderung","672 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00672/index.shtml","XXV",5,"XXV_672dB"
"504","23.07.2015","RV","Investmentfondsgesetz, Immobilien-Investmentfondsgesetz, Änderung","671 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00671/index.shtml","XXV",5,"XXV_671dB"
"505","23.07.2015","RV","Börsegesetz, Kapitalmarktgesetz u.a., Änderung","670 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00670/index.shtml","XXV",5,"XXV_670dB"
"506","23.07.2015","RV","Staatsanwaltschaftsgesetz, Änderung","669 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00669/index.shtml","XXV",5,"XXV_669dB"
"507","23.07.2015","RV","Niederlassungs- und Aufenthaltsgesetz, Änderung","650 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00650/index.shtml","XXV",5,"XXV_650dB"
"508","23.07.2015","RV","Privatradiogesetz, ORF-Gesetz u.a., Änderung","632 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00632/index.shtml","XXV",5,"XXV_632dB"
"509","23.07.2015","RV","Alternativfinanzierungsgesetz; Kapitalmarktgesetz, Änderung","628 d.B.","https://www.parlament.gv.at/PAKT/VHG/XXV/I/I_00628/index.shtml","XXV",5,"XXV_628dB"
